post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url
"Shajao Online Payment",shajao-online-payment,,36046,"Please, <strong>Place the accurate invoice value</strong>. Reconfirm with Customer Care Executive. After successful payment, Please Inform our customer care executive. Thanks for your effort.

if you need assistance from Customer Support dial 01707082382/1.",,publish,,0,"2020-06-17 13:29:51",1,closed,,,,,no,no,99,2740,,,,,,,visible,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://shajao.com/wp-content/uploads/2020/09/online-payment-providers.png ! alt : Shajao Online Payment ! title : Shajao Online Payment 1 ! desc :  ! caption : ",,https://shajao.com/shop/limited-collection/shajao-online-payment/
"Canvas Glue",canvas-glue,,36075,"ক্যানভাস এর আঠা খুলে যাবার চিন্তা এখন শেষ।
সাজাও তাদের ক্রেতাদের জন্য নিয়ে এসেছে ক্যানভাসের Glue।
আপনি চাইলে আপনার ক্যানভাস ফ্রেম এর পাশাপাশি এই পণ্যটি ও এখনই অর্ডার করতে পারেন।

ঢাকা সিটিতে ডেলিভারি চার্জ ৬০ টাকা।",,publish,,0,"2020-07-12 11:53:28",13,closed,,,,,no,no,4921,50,,,,,,,visible,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://shajao.com/wp-content/uploads/2020/09/3-canvas-glue-1.jpg ! alt : Canvas Glue ! title : Canvas Glue 1 ! desc :  ! caption : ",,https://shajao.com/shop/limited-collection/canvas-glue/
"Hexagon Mirror | 10 Piece",hexagon-mirror-10-piece,,36291,"<div class=""o9v6fnle cxmmr5t8 oygrvhab hcukyx3x c1et5uql ii04i59q"">
<div dir=""auto"">
<div class=""o9v6fnle cxmmr5t8 oygrvhab hcukyx3x c1et5uql ii04i59q"">
<div dir=""auto"">
<div class=""o9v6fnle cxmmr5t8 oygrvhab hcukyx3x c1et5uql ii04i59q"">
<div dir=""auto"">
<div class=""o9v6fnle cxmmr5t8 oygrvhab hcukyx3x c1et5uql ii04i59q"">
<div dir=""auto"">Mirror Piece: 10</div>
</div>
<div dir=""auto"">

উপরে এই হেক্সাগণ মিরর গুলো দেয়ালে লাগানো খুব সহজ।

১) গ্লু দিয়েই লাগানো হয়। প্রতিটি আয়নার পিস্ এর সাথে শক্তিশালী গ্লু দেয়া থাকে।
২) বাসা পরিবর্তন এর সময় শুধু গ্লু চেঞ্জ করলেই আপনি আয়নার অন্য জায়গায় পেয়ে যাবেন।
৩) গ্লু গুলি আমাদের স্টোর থেকে সবসময় কিনতে পারবেন। আপনি চাইলে এই মিরর এর সাথে এক্সট্রা গ্লু নিতে পারেন তাহলে পরবর্তীতে ব্যবহার করতে পারবেন।

</div>
</div>
</div>
</div>
</div>
</div>
</div>","<div class=""kvgmc6g5 cxmmr5t8 oygrvhab hcukyx3x c1et5uql ii04i59q"">
<div dir=""auto"">আয়নাতে বৈজ্ঞানিকভাবে বাস্তবে যা তাই রিফ্লেকশন করলেও , মানুষ কিন্তু আয়নাতে খুঁজে অন্য একটা জিনিস।</div>
</div>
<div class=""o9v6fnle cxmmr5t8 oygrvhab hcukyx3x c1et5uql ii04i59q""></div>
<div>

উপরে এই হেক্সাগণ মিরর গুলো দেয়ালে লাগানো খুব সহজ।

১) গ্লু দিয়েই লাগানো হয়। প্রতিটি আয়নার পিস্ এর সাথে শক্তিশালী গ্লু দেয়া থাকে।
২) বাসা পরিবর্তন এর সময় শুধু গ্লু চেঞ্জ করলেই আপনি আয়নার অন্য জায়গায় পেয়ে যাবেন।
৩) গ্লু গুলি আমাদের স্টোর থেকে সবসময় কিনতে পারবেন। আপনি চাইলে এই মিরর এর সাথে এক্সট্রা গ্লু নিতে পারেন তাহলে পরবর্তীতে ব্যবহার করতে পারবেন।

পূর্ণিমা ম্যাম ও এই হেক্সাগণ মিরর দিয়ে তার বাসা সাজিয়েছেন সুন্দর করে।

</div>",publish,,0,"2020-09-09 11:55:21",1,open,,,,,no,no,1,2500,2250,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://shajao.com/wp-content/uploads/2020/09/hexagon-mirror-shajao-3.jpg ! alt :  ! title : hexagon mirror shajao (3) ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/2...................jpg ! alt :  ! title : 2.................. ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/1..........jpg ! alt :  ! title : 1......... ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/hexagon-mirror-close-visual.jpg ! alt :  ! title : hexagon mirror close visual ! desc :  ! caption : ",,https://shajao.com/shop/mirror/hexagon-mirrors/hexagon-mirror-10-piece/
"Hexagon Mirror | 15 Piece",hexagon-mirror-15-piece,,36305,"<div class=""o9v6fnle cxmmr5t8 oygrvhab hcukyx3x c1et5uql ii04i59q"">
<div dir=""auto"">Mirror Piece: 15</div>
<div dir=""auto"">

10% Discount Applicable with Free Glue

</div>
</div>","<div class=""kvgmc6g5 cxmmr5t8 oygrvhab hcukyx3x c1et5uql ii04i59q"">
<div dir=""auto"">আয়নাতে বৈজ্ঞানিকভাবে বাস্তবে যা তাই রিফ্লেকশন করলেও , মানুষ কিন্তু আয়নাতে খুঁজে অন্য একটা জিনিস।</div>
</div>
<div class=""o9v6fnle cxmmr5t8 oygrvhab hcukyx3x c1et5uql ii04i59q""></div>
<div>

উপরে এই হেক্সাগণ মিরর গুলো দেয়ালে লাগানো খুব সহজ।

১) গ্লু দিয়েই লাগানো হয়। প্রতিটি আয়নার পিস্ এর সাথে শক্তিশালী গ্লু দেয়া থাকে।
২) বাসা পরিবর্তন এর সময় শুধু গ্লু চেঞ্জ করলেই আপনি আয়নার অন্য জায়গায় পেয়ে যাবেন।
৩) গ্লু গুলি আমাদের স্টোর থেকে সবসময় কিনতে পারবেন। আপনি চাইলে এই মিরর এর সাথে এক্সট্রা গ্লু নিতে পারেন তাহলে পরবর্তীতে ব্যবহার করতে পারবেন।

পূর্ণিমা ম্যাম ও এই হেক্সাগণ মিরর দিয়ে তার বাসা সাজিয়েছেন সুন্দর করে।

</div>",publish,,0,"2020-09-09 12:05:11",1,open,,,,,no,no,,3750,3375,,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://shajao.com/wp-content/uploads/2020/09/hexagon_15_mirror_pr_rHJvT.jpg ! alt :  ! title : hexagon_15_mirror_pr_rHJvT ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/hexagon-mirror-close-visual.jpg ! alt :  ! title : hexagon mirror close visual ! desc :  ! caption : ",,https://shajao.com/shop/mirror/hexagon-mirrors/hexagon-mirror-15-piece/
ERUPTICA,eruptica,,36456,"Meaning of This Art: Eruption of Thoughts

Size of The Art: 20"" x 30""
<div class=""freebirdFormviewerViewNumberedItemContainer"">
<div class=""freebirdFormviewerViewItemsItemItem freebirdFormviewerViewItemsTextTextItem"" role=""listitem"" data-required=""true"" data-item-id=""84412809"">
<div class=""freebirdFormviewerViewItemsItemItemHeader"">
<div class=""freebirdFormviewerViewItemsItemItemTitleDescContainer"">
<div class=""freebirdFormviewerViewItemsItemItemTitleContainer"">Paper &amp; Color Details: Canvas and Acrylic paints</div>
</div>
</div>
</div>
</div>","(((( বাংলাদেশের নিখাঁদ আর্টিস্টদের মন উজাড় করা রিয়েল পেইন্টিং নিয়ে আসলো সাজাও। যারা শুধু আর্ট ভালোবাসেন না, স্বপ্ন দেখেন এই আর্ট নিয়ে ৷ তাদের অক্লান্ত চেষ্টার রেজাল্ট হচ্ছে এই আর্ট ! ))))

<strong>Inside Dhaka City: </strong>
Delivery Cost inside Dhaka: 100 Taka.
Cash on Delivery and Online Payment Is applicable.

Delivery Time: 3-5 Working Days.

<strong>Outside Dhaka City:</strong>

Delivery Cost inside Dhaka: 250 Taka.

Online Payment is applicable.",publish,,0,"2020-09-12 16:39:49",1,open,500,,,,no,no,1.000000,8500,5500,,,,,,,instock,no,no,,yes,taxable,,,,,2020-09-04,'-1,'-1,,,"https://shajao.com/wp-content/uploads/2020/09/1-4.jpg ! alt :  ! title : 1 ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/IMG_E3810-Sabri-Sumaita-scaled.jpg ! alt :  ! title : IMG_E3810 - Sabri Sumaita ! desc :  ! caption : ",,https://shajao.com/shop/painting/artist-sumaita/eruptica/
"Poseidon's Curse",poseidons-curse,,36470,"Meaning of This Art: Sea disaster caused by Poseidon's curse

Size of The Art:16"" x 24""
<div class=""freebirdFormviewerViewNumberedItemContainer"">
<div class=""freebirdFormviewerViewItemsItemItem freebirdFormviewerViewItemsTextTextItem"" role=""listitem"" data-required=""true"" data-item-id=""84412809"">
<div class=""freebirdFormviewerViewItemsItemItemHeader"">
<div class=""freebirdFormviewerViewItemsItemItemTitleDescContainer"">
<div class=""freebirdFormviewerViewItemsItemItemTitleContainer"">Paper &amp; Color Details: Canvas and Acrylic paints</div>
</div>
</div>
</div>
</div>","(((( বাংলাদেশের নিখাঁদ আর্টিস্টদের মন উজাড় করা রিয়েল পেইন্টিং নিয়ে আসলো সাজাও। যারা শুধু আর্ট ভালোবাসেন না, স্বপ্ন দেখেন এই আর্ট নিয়ে ৷ তাদের অক্লান্ত চেষ্টার রেজাল্ট হচ্ছে এই আর্ট ! ))))

<strong>Inside Dhaka City: </strong>
Delivery Cost inside Dhaka: 100 Taka.
Cash on Delivery and Online Payment Is applicable.

Delivery Time: 3-5 Working Days.

<strong>Outside Dhaka City:</strong>

Delivery Cost inside Dhaka: 250 Taka.

Online Payment is applicable.",publish,,0,"2020-09-12 17:31:19",1,open,502,,,,no,no,1.000000,6500,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://shajao.com/wp-content/uploads/2020/09/3-3.jpg ! alt :  ! title : 3 ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/01__1_-scaled.jpg ! alt :  ! title : 01__1_ ! desc :  ! caption : ",,https://shajao.com/shop/painting/artist-sumaita/poseidons-curse/
"COLORBLAST and MYSTICEA",colorblast-and-mysticea,,36485,"Meaning of This Art: Explosion of colors &amp; Mystery of the depth of the ocean

Size of The Art: 16"" x 20"" each
<div class=""freebirdFormviewerViewNumberedItemContainer"">
<div class=""freebirdFormviewerViewItemsItemItem freebirdFormviewerViewItemsTextTextItem"" role=""listitem"" data-required=""true"" data-item-id=""84412809"">
<div class=""freebirdFormviewerViewItemsItemItemHeader"">
<div class=""freebirdFormviewerViewItemsItemItemTitleDescContainer"">
<div class=""freebirdFormviewerViewItemsItemItemTitleContainer"">

Paper &amp; Color Details: canvas and acrylic paints
<div class=""freebirdFormviewerViewNumberedItemContainer"">
<div class=""freebirdFormviewerViewItemsItemItem"" role=""listitem"" data-required=""true"" data-other-input=""qSV85"" data-other-hidden=""MfYA1e"" data-item-id=""663966013"">
<div class=""freebirdFormviewerViewItemsItemItemHeader"">
<div class=""freebirdFormviewerViewItemsItemItemTitleDescContainer"">
<div class=""freebirdFormviewerViewItemsItemItemTitleContainer""></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>","(((( বাংলাদেশের নিখাঁদ আর্টিস্টদের মন উজাড় করা রিয়েল পেইন্টিং নিয়ে আসলো সাজাও। যারা শুধু আর্ট ভালোবাসেন না, স্বপ্ন দেখেন এই আর্ট নিয়ে ৷ তাদের অক্লান্ত চেষ্টার রেজাল্ট হচ্ছে এই আর্ট ! ))))

<strong>Inside Dhaka City: </strong>
Delivery Cost inside Dhaka: 100 Taka.
Cash on Delivery and Online Payment Is applicable.

Delivery Time: 2/3 Working Days.

<strong>Outside Dhaka City:</strong>

Online Payment is applicable. No cash on delivery is available.",publish,,0,"2020-09-12 18:03:12",1,open,504,,,,no,no,1.000000,9500,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://shajao.com/wp-content/uploads/2020/09/4-2.jpg ! alt :  ! title : 4 ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/img_3609___sabri_sum_7hev3-scaled.jpg ! alt :  ! title : img_3609___sabri_sum_7hev3 ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/img_3604___sabri_sum_843B5-scaled.jpg ! alt :  ! title : img_3604___sabri_sum_843B5 ! desc :  ! caption : ",,https://shajao.com/shop/painting/artist-sumaita/colorblast-and-mysticea/
"Antique Light",antique-light,,36488,"Meaning of This Art: The light which is becoming antique day by day. It was the light which remove the darkness and enlighten thousands of people’s daily life in Bangladesh.

Size of The Art: 24""/20"" each
<div class=""freebirdFormviewerViewNumberedItemContainer"">
<div class=""freebirdFormviewerViewItemsItemItem freebirdFormviewerViewItemsTextTextItem"" role=""listitem"" data-required=""true"" data-item-id=""84412809"">
<div class=""freebirdFormviewerViewItemsItemItemHeader"">
<div class=""freebirdFormviewerViewItemsItemItemTitleDescContainer"">
<div class=""freebirdFormviewerViewItemsItemItemTitleContainer"">

Paper &amp; Color Details: canvas
<div class=""freebirdFormviewerViewNumberedItemContainer"">
<div class=""freebirdFormviewerViewItemsItemItem"" role=""listitem"" data-required=""true"" data-other-input=""qSV85"" data-other-hidden=""MfYA1e"" data-item-id=""663966013"">
<div class=""freebirdFormviewerViewItemsItemItemHeader"">
<div class=""freebirdFormviewerViewItemsItemItemTitleDescContainer"">
<div class=""freebirdFormviewerViewItemsItemItemTitleContainer""></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>","(((( বাংলাদেশের নিখাঁদ আর্টিস্টদের মন উজাড় করা রিয়েল পেইন্টিং নিয়ে আসলো সাজাও। যারা শুধু আর্ট ভালোবাসেন না, স্বপ্ন দেখেন এই আর্ট নিয়ে ৷ তাদের অক্লান্ত চেষ্টার রেজাল্ট হচ্ছে এই আর্ট ! ))))

<strong>Inside Dhaka City: </strong>
Delivery Cost inside Dhaka: 100 Taka.
Cash on Delivery and Online Payment Is applicable.

Delivery Time: 2/3 Working Days.

<strong>Outside Dhaka City:</strong>

Online Payment is applicable. No cash on delivery is available.",publish,,0,"2020-09-12 18:08:36",1,open,505,,,,no,no,1.000000,15000,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://shajao.com/wp-content/uploads/2020/09/13-scaled.jpg ! alt :  ! title : 13 ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/IMG_20200908_214955-alimul-islam.jpg ! alt :  ! title : IMG_20200908_214955 - alimul islam ! desc :  ! caption : ",,https://shajao.com/shop/painting/artist-alimul/antique-light/
"Lily the white beauty",lily-the-white-beauty,,36491,"Meaning of This Art: Water lily painting in green effect. Beautiful combination with floating boat.

Size of The Art: 24""/20"" each
<div class=""freebirdFormviewerViewNumberedItemContainer"">
<div class=""freebirdFormviewerViewItemsItemItem freebirdFormviewerViewItemsTextTextItem"" role=""listitem"" data-required=""true"" data-item-id=""84412809"">
<div class=""freebirdFormviewerViewItemsItemItemHeader"">
<div class=""freebirdFormviewerViewItemsItemItemTitleDescContainer"">
<div class=""freebirdFormviewerViewItemsItemItemTitleContainer"">

Paper &amp; Color Details: canvas
<div class=""freebirdFormviewerViewNumberedItemContainer"">
<div class=""freebirdFormviewerViewItemsItemItem"" role=""listitem"" data-required=""true"" data-other-input=""qSV85"" data-other-hidden=""MfYA1e"" data-item-id=""663966013"">
<div class=""freebirdFormviewerViewItemsItemItemHeader"">
<div class=""freebirdFormviewerViewItemsItemItemTitleDescContainer"">
<div class=""freebirdFormviewerViewItemsItemItemTitleContainer""></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>","(((( বাংলাদেশের নিখাঁদ আর্টিস্টদের মন উজাড় করা রিয়েল পেইন্টিং নিয়ে আসলো সাজাও। যারা শুধু আর্ট ভালোবাসেন না, স্বপ্ন দেখেন এই আর্ট নিয়ে ৷ তাদের অক্লান্ত চেষ্টার রেজাল্ট হচ্ছে এই আর্ট ! ))))

<strong>Inside Dhaka City: </strong>
Delivery Cost inside Dhaka: 100 Taka.
Cash on Delivery and Online Payment Is applicable.

Delivery Time: 2/3 Working Days.

<strong>Outside Dhaka City:</strong>

Online Payment is applicable. No cash on delivery is available.",publish,,0,"2020-09-12 18:15:09",1,open,506,,,,no,no,1.000000,8500,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://shajao.com/wp-content/uploads/2020/09/6-2.jpg ! alt :  ! title : 6 ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/IMG_20200908_214513-alimul-islam-scaled.jpg ! alt :  ! title : IMG_20200908_214513 - alimul islam ! desc :  ! caption : ",,https://shajao.com/shop/painting/artist-alimul/lily-the-white-beauty/
Rickshaw,rickshaw,,36494,"Meaning of This Art: Life of Dhaka

Size of The Art: 12""/18"" each
<div class=""freebirdFormviewerViewNumberedItemContainer"">
<div class=""freebirdFormviewerViewItemsItemItem freebirdFormviewerViewItemsTextTextItem"" role=""listitem"" data-required=""true"" data-item-id=""84412809"">
<div class=""freebirdFormviewerViewItemsItemItemHeader"">
<div class=""freebirdFormviewerViewItemsItemItemTitleDescContainer"">
<div class=""freebirdFormviewerViewItemsItemItemTitleContainer"">

Paper &amp; Color Details: Acrylic colour on Canvas
<div class=""freebirdFormviewerViewNumberedItemContainer"">
<div class=""freebirdFormviewerViewItemsItemItem"" role=""listitem"" data-required=""true"" data-other-input=""qSV85"" data-other-hidden=""MfYA1e"" data-item-id=""663966013"">
<div class=""freebirdFormviewerViewItemsItemItemHeader"">
<div class=""freebirdFormviewerViewItemsItemItemTitleDescContainer"">
<div class=""freebirdFormviewerViewItemsItemItemTitleContainer""></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>","(((( বাংলাদেশের নিখাঁদ আর্টিস্টদের মন উজাড় করা রিয়েল পেইন্টিং নিয়ে আসলো সাজাও। যারা শুধু আর্ট ভালোবাসেন না, স্বপ্ন দেখেন এই আর্ট নিয়ে ৷ তাদের অক্লান্ত চেষ্টার রেজাল্ট হচ্ছে এই আর্ট ! ))))

<strong>Inside Dhaka City: </strong>
Delivery Cost inside Dhaka: 100 Taka.
Cash on Delivery and Online Payment Is applicable.

Delivery Time: 2/3 Working Days.

<strong>Outside Dhaka City:</strong>

Online Payment is applicable. No cash on delivery is available.",publish,,0,"2020-09-12 18:21:07",1,open,507,,,,no,no,1.000000,2450,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"https://shajao.com/wp-content/uploads/2020/09/5-2.jpg ! alt :  ! title : 5 ! desc :  ! caption :  | https://shajao.com/wp-content/uploads/2020/09/IMG_20200908_214045-alimul-islam-scaled.jpg ! alt :  ! title : IMG_20200908_214045 - alimul islam ! desc :  ! caption : ",,https://shajao.com/shop/painting/artist-alimul/rickshaw/
